shelf,row,bin,assembly
Shelf 1,Row 1,bin 1,A1090
Shelf 1,Row 1,bin 2,A1901
Shelf 1,Row 2,bin 3,A0917
Shelf 1,Row 2,bin 4,A1181
Shelf 1,Row 2,bin 5,A1490/A1843
Shelf 1,Row 3,bin 6,A1708
Shelf 1,Row 3,bin 7,A1471
Shelf 1,Row 4,bin 8,A0944
Shelf 1,Row 4,bin 9,A0970/A1967/A1968
Shelf 1,Row 4,bin 10,A1646/A2396
Shelf 1,Row 5,bin 11,A0823
Shelf 1,Row 5,bin 12,A0845
Shelf 1,Row 5,bin 13,A0943
Shelf 1,Row 6,bin 14,A1332
Shelf 1,Row 6,bin 15,A1674
Shelf 1,Row 6,bin 16,A0877/A0878
Shelf 1,Row 7,bin 17,A1172
Shelf 1,Row 8,bin 18,A2120
Shelf 2,Row 1,bin 19,A1200
Shelf 2,Row 1,bin 20,A1199
Shelf 2,Row 1,bin 21,A1247
Shelf 2,Row 2,bin 22,A1518
Shelf 2,Row 2,bin 23,A1458
Shelf 2,Row 3,bin 24,A1631
Shelf 2,Row 3,bin 25,A1682
Shelf 2,Row 4,bin 26,A1659
Shelf 2,Row 5,bin 27,A1511
Shelf 2,Row 5,bin 28,A1510
Shelf 2,Row 5,bin 29,A1601
Shelf 2,Row 6,bin 30,A1291
Shelf 2,Row 6,bin 31,A1207/A1208/A1209/A1214/A1215/A1216
Shelf 2,Row 7,bin 32,A2029/A2364
Shelf 2,Row 7,bin 33,A2140
Shelf 2,Row 7,bin 34,A1508
Shelf 2,Row 8,bin 35,A1454
Shelf 2,Row 8,bin 36,A1629
Shelf 3,Row 0,bin 37,A1027
Shelf 3,Row 1,bin 38,A1630/A1939
Shelf 3,Row 1,bin 39,A1622
Shelf 3,Row 2,bin 40,A1210
Shelf 3,Row 2,bin 41,A1618
Shelf 3,Row 2,bin 42,A1455
Shelf 3,Row 3,bin 43,A0907
Shelf 3,Row 3,bin 44,A1639
Shelf 3,Row 3,bin 45,A1272
Shelf 3,Row 4,bin 46,A1301
Shelf 3,Row 4,bin 47,A1947
Shelf 3,Row 4,bin 48,A1970
Shelf 3,Row 5,bin 49,A1943
Shelf 3,Row 5,bin 50,A1671
Shelf 3,Row 6,bin 51,A1842
Shelf 3,Row 6,bin 52,A1599
Shelf 3,Row 6,bin 53,A1900
Shelf 3,Row 7,bin 54,A1177
Shelf 3,Row 7,bin 55,A1428
Shelf 3,Row 8,bin 56,A1610
Shelf 3,Row 8,bin 57,A1925
Shelf 3,Row 8,bin 58,A1307
Shelf 4,Row 0,bin 59,A1133/A2020
Shelf 4,Row 0,bin 60,A1832
Shelf 4,Row 0,bin 61,A1095/A1080/A1999
Shelf 4,Row 0,bin 62,A1549
Shelf 4,Row 3,bin 63,A1243/A1262
Shelf 4,Row 4,bin 64,A1642
Shelf 4,Row 4,bin 65,A1670/A2390
Shelf 4,Row 8,bin 66,A0831/A0832
Shelf 4,Row 6,bin 67,A1255
Shelf 4,Row 6,bin 68,A1427/A2043
Shelf 4,Row 6,bin 69,A1190
Shelf 4,Row 7,bin 70,A0948/A0949/A1218
Shelf 4,Row 8,bin 71,A0966/A0967/A0906/A0945/A1157
Shelf 4,Row 8,bin 72,A0831/A0832
Shelf 4,Row 5,bin 73,A1220/A1221
Shelf5,Row 0,bin 74,A1277/A1278
Shelf5,Row 0,bin 75,A1695
Shelf5,Row 0,bin 76,A0306
Shelf5,Row 1,bin 77,A1179
Shelf5,Row 3,bin 78,A1344/A1373/A2141
Shelf5,Row 4,bin 79,A1962/A2005/A2006/A2325
Shelf5,Row 5,bin 80,A2088
Shelf5,Row 5,bin 81,A2254/A2362/A2347/A2245/A2142/A2336/A2337/A2109/A2238/A2244
Shelf5,Row 6,bin 82,A1341/A1343/A1346/A1367
Shelf5,Row 6,bin 83,A2016/A2017
Shelf5,Row 7,bin 84,A1949/A1649/A1946
Shelf5,Row 7,bin 85,A1560/A1364/A2343
Shelf5,Row 7,bin 86,A1345
Shelf5,Row 8,bin 87,A1686/A1684/A1831/A1869
Shelf 6,Row 0,bin 88,A1230
Shelf 6,Row 0,bin 89,A2023/A1136
Shelf 6,Row 1,bin 90,A1941
Shelf 6,Row 1,bin 91,A2069
Shelf 6,Row 2,bin 92,A1347/A1348/A1349/A1351/A1352
Shelf 6,Row 3,bin 93,A2370
Shelf 6,Row 4,bin 94,A2357/A2358
Shelf 6,Row 4,bin 95,A2010/A2118
Shelf 6,Row 5,bin 96,A2119
Shelf 6,Row 5,bin 97,A2467
Shelf 6,Row 6,bin 98,A2269/A2268/A2267/A2274/A2273/A2318/A2278/A2277/A2276/A2272/A2271/A2270
Shelf 6,Row 6,bin 99,A2106/A2321/A2046/A1403/A1404/A2210
Shelf 6,Row 8,bin 100,A1811
Shelf 6,Row 8,bin 101,A2117
Shelf 6,Row 8,bin 102,A1816/A2092
Shelf 6,Row 8,bin 103,A1715/A1083
Shelf 7,Row 1,bin 104,A1169
Shelf 7,Row 1,bin 105,A0759/A1441
Shelf 7,Row 2,bin 106,A1032/A1361/A1566/A1567/A1596/A1597
Shelf 7,Row 3,bin 107,A2423/A2437
Shelf 7,Row 3,bin 108,A1497/A1782/A1894
Shelf 7,Row 3,bin 109,A1521
Shelf 7,Row 4,bin 110,A0976/A1915
Shelf 7,Row 5,bin 111,A1764/A1795/A1796/A1810/A1817
Shelf 7,Row 5,bin 112,A1770
Shelf 7,Row 5,bin 113,A1812/A1813/A1814/A1820/A1958
Shelf 7,Row 6,bin 114,A2050/A2051/A2052/A2095/A2100
Shelf 7,Row 7,bin 115,A1815/A1795
Shelf 7,Row 7,bin 116,A2181/A2185
Shelf 7,Row 7,bin 117,A1353/A1667/A1836
Shelf 7,Row 8,bin 118,A1973/A1666
Shelf 4,Row 7,bin 119,A1717
Shelf 7,Row 0,bin 120,A0811
Shelf 2,Row 4,bin 121,A1473/A1513/A1847
,,bin 122,A1350/A1774/A1994/A1995
,,bin 123,A2018/A2038/A2116
,,bin 124,A1394/A1407/A1408/A1409
,,bin 125,A1435
